Designator,Mid X,Mid Y,Rotation,Layer
PWR1,264.536374,-93.749277,352.0,top
RST1,255.154267,-44.463898,352.0,top
RST_S1,263.48187,-102.689524,262.0,top
S1,172.710911,-78.21884,0.0,bottom
S10,233.138192,-64.595775,8.0,bottom
S11,235.782481,-45.780682,8.0,bottom
S12,250.631141,-76.64761,8.0,bottom
S13,253.27543,-57.832517,8.0,bottom
S14,243.704607,-112.280399,108.0,bottom
S15,262.651644,-120.322988,118.0,bottom
S16,253.373491,-115.841441,113.0,bottom
S2,172.710911,-59.218841,0.0,bottom
S3,192.504028,-79.082469,5.0,bottom
S4,194.159988,-60.15477,5.0,bottom
S5,195.815947,-41.227071,5.0,bottom
S6,212.339883,-76.062806,8.0,bottom
S7,214.984171,-57.247713,8.0,bottom
S8,217.62846,-38.432619,8.0,bottom
S9,230.493904,-83.410868,8.0,bottom
